cluster,block_height,output_index,derived_p2pkh_address,amount_btc,script_type,source
D,12121,0,1HWmHPN1JLtZCugcksXzG3XdX9X6zg2UtL,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12122,0,1KdYp1uirggvHxpfuWrVQk9o3SHBCkQJCM,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12124,0,1C4A35SPcGVLzoVVZHqYgKzSSAJtRJPWMs,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12125,0,1A2JYu8foX6DEv5FR5ER8CjiNY43kHC7gh,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12126,0,1G2yBmSuoQHAbNaKh4Nn7XQDqJBYPPpuvx,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12128,0,1GNCAcrKJZ2kReNDGGEvs9R4j2aoH1pRqm,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12129,0,1Jq1QrPmYn1NNgevYJfACvX88Tyy5f7fSz,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12131,0,1FKnKirDkwSUb8iKvpbZ74ohabSEzZQqMj,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12132,0,1DQiptPg12zsmtTCPErXQ97hJAg8dnmK5A,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12133,0,1ixwskf7Yqg2LjfNkaqyGiEiuniEkLL3S,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12134,0,1JWC18x4Zx3vi8fiu1v3MUQSXPxGy6ougm,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12135,0,1LT6wcZurhZ7jqTkFRM43QzAJ4qvuG7an1,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12136,0,1MV4v4Knzb8DfTuG3u62TiWET31dqqUZCQ,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12137,0,17kHvV4SWxCqCCkSBaqmKTFaFyEksCfC6Y,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12139,0,15mAVVqWHqHCsvkpQx63xpjxgFkAT8aeYX,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12141,0,159Nkr33hfuse29eMgeWJhPXYnrbsYJUTs,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12142,0,1NTriTs2rZhqJZZoG9b4RJ9X6uSEFo9JRa,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12144,0,1FuNXzFcTYesC7kwZrSGtJF7oDs51vZRwu,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12146,0,1K9fH1rFYAUfYo1496Gm2fNAKStiPt15u,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12147,0,1KZ2MjiMzDNYcQgoqYxLBesYYyejYMnSci,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12148,0,12yVGGyQWFgo8piW4zdne2Ae1cXCS5ZFiB,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12150,0,1zjRPnUzmk4Qf7AzRoJ41Nm4r4oEFArjg,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12151,0,1PBvoZkhMZXnNyUY6myPbZX7BQCtnzL4Gj,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12152,0,1DjSYJXPi3p9yXgjDEkYmg4MJ55BqLxjp1,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12154,0,1JrB5Wu4D44pdVihHU6AHpHbinFe4fKZE5,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12155,0,19bbC1HMixqZKk6FgrxfkNoLQfAXBGQLyU,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12156,0,1GkRY9sQuaFfrtd9BqFRFvQRbshUxGGsgb,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12157,0,1A1tP5cXxMGT3iTqe5QBYnwPcWwEpCPbSV,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12159,0,1LLjMjmErcoBzvrKaShxugarM9Jr5MceWi,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12160,0,15R2Cr93DcdLE8th2XbooAtRVyNvu7btK4,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12162,0,19rhGm7cXMTsAc51JuvUoYFZPHvo6tAZXA,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12163,0,1JDSTNzaTTusdafFvcRKqSowSxB9DFdCAK,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12165,0,1HnsqwxLXiNFMtup1TYoEbMTAjqQHcY2Ff,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12167,0,1HCiWNRHBfPoBMVofau2H9j19hxr2vLSj8,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12169,0,1DoiU8wRewNsHrPWD4qDsiUtq1hWe5LBtv,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12171,0,1Rz6RVtfrrxJ2LeehVTJxEw4j9zX1vZEN,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12172,0,12LF733ctf66nRnbRMBLyDKmp2y6NfEucC,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12173,0,17B3WtcKHTMSfwpJF1qV9C4hTG5kPSZAJP,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12174,0,14je4jpnDqYp7uACXFAesrSua2jB6d5RPD,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12175,0,1PWwfZR3yCcbmt2ynpFSpr2KRxwq8Ymmrq,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12177,0,1LbU5uPQSLb2M1dvee4QkJZkMsZnduu4dt,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12178,0,1EroPXQy6oXhgowWyTx6RWRXrBqQFKxkSg,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12179,0,15m7A4qyE9wdWERcYYVZsjvHWnmtS2oxge,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12180,0,1sCX4RoyodhHAmDJnCekwbWRwRtji17qQ,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12181,0,1BWpnftk7xbz8pseseujJr1KYm8xDTwupM,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
D,12183,0,16JxdfAvo7KPow1XKqFLrZb9xA5pc4h22z,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
